X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-79.035728,35.932522,2019/06/25 11:02:29+00,4.39,4.46,4.5,5.39,13.3,14.64,14.29,81,62,1000.3,Chapel Hill Public Library,outside,35.932522,-79.035728,41983,-81,2,,6156
-79.035728,35.932522,2019/06/25 11:02:29+00,4.39,4.46,4.5,5.39,13.3,14.64,14.29,81,62,1000.3,Chapel Hill Public Library,outside,35.932522,-79.035728,41983,-81,2,,6157
-79.035728,35.932522,2019/06/25 11:02:29+00,4.39,4.46,4.5,5.39,13.3,14.64,14.29,81,62,1000.3,Chapel Hill Public Library,outside,35.932522,-79.035728,41983,-81,2,,6158
-79.035728,35.932522,2019/06/25 11:02:29+00,4.39,4.46,4.5,5.39,13.3,14.64,14.29,81,62,1000.3,Chapel Hill Public Library,outside,35.932522,-79.035728,41983,-81,2,,6159
-79.035728,35.932522,2019/06/25 11:54:33+00,4.72,4.62,4.54,5.15,12.82,14.5,14.27,85,55,1000.76,Chapel Hill Public Library,outside,35.932522,-79.035728,45108,-86,10,,6160
-79.035728,35.932522,2019/06/25 11:54:33+00,4.72,4.62,4.54,5.15,12.82,14.5,14.27,85,55,1000.76,Chapel Hill Public Library,outside,35.932522,-79.035728,45108,-86,10,,6161
-79.035728,35.932522,2019/06/25 11:54:33+00,4.72,4.62,4.54,5.15,12.82,14.5,14.27,85,55,1000.76,Chapel Hill Public Library,outside,35.932522,-79.035728,45108,-86,10,,6162
-79.035728,35.932522,2019/06/25 11:54:33+00,4.72,4.62,4.54,5.15,12.82,14.5,14.27,85,55,1000.76,Chapel Hill Public Library,outside,35.932522,-79.035728,45108,-86,10,,6163
-79.035728,35.932522,2019/06/25 11:54:33+00,4.72,4.62,4.54,5.15,12.82,14.5,14.27,85,55,1000.76,Chapel Hill Public Library,outside,35.932522,-79.035728,45108,-86,10,,6164
-79.035728,35.932522,2019/06/25 12:58:49+00,4.99,5.06,4.8,5.12,12.4,14.37,14.25,90,49,1001.51,Chapel Hill Public Library,outside,35.932522,-79.035728,48963,-81,6,,6165
-79.035728,35.932522,2019/06/25 12:58:49+00,4.99,5.06,4.8,5.12,12.4,14.37,14.25,90,49,1001.51,Chapel Hill Public Library,outside,35.932522,-79.035728,48963,-81,6,,6166
-79.035728,35.932522,2019/06/25 12:58:49+00,4.99,5.06,4.8,5.12,12.4,14.37,14.25,90,49,1001.51,Chapel Hill Public Library,outside,35.932522,-79.035728,48963,-81,6,,6167
-79.035728,35.932522,2019/06/25 12:58:49+00,4.99,5.06,4.8,5.12,12.4,14.37,14.25,90,49,1001.51,Chapel Hill Public Library,outside,35.932522,-79.035728,48963,-81,6,,6168
